timestamp,uV
1651668596000.2344,-11316.0
1651668596000.2363,-9397.0
1651668596000.2383,-5715.0
1651668596000.2402,-1909.0
1651668596000.2422,119.0
1651668596000.2441,-1152.0
1651668596000.246,-5285.0
1651668596000.248,-9526.0
1651668596000.25,-11384.0
1651668596000.252,-10353.0
1651668596000.254,-7112.0
1651668596000.2559,-3113.0
1651668596000.2578,-195.0
1651668596000.2598,-302.0
1651668596000.2617,-3644.0
1651668596000.2637,-8089.0
1651668596000.2656,-10810.0
1651668596000.2676,-10777.0
1651668596000.2695,-8172.0
1651668596000.2715,-4174.0
1651668596000.2734,-663.0
1651668596000.2754,361.0
1651668596000.2773,-2095.0
1651668596000.2793,-6591.0
1651668596000.2812,-10234.0
1651668596000.2832,-11173.0
1651668596000.2852,-9288.0
1651668596000.287,-5581.0
1651668596000.289,-1759.0
1651668596000.291,276.0
1651668596000.293,-984.0
1651668596000.295,-5108.0
1651668596000.2969,-9366.0
1651668596000.2988,-11246.0
1651668596000.3008,-10251.0
1651668596000.3027,-7049.0
1651668596000.3047,-3061.0
1651668596000.3066,-125.0
1651668596000.3086,-246.0
1651668596000.3105,-3629.0
1651668596000.3125,-8136.0
1651668596000.3145,-10910.0
1651668596000.3164,-10905.0
1651668596000.3184,-8329.0
1651668596000.3203,-4341.0
1651668596000.3223,-779.0
1651668596000.3242,292.0
1651668596000.3262,-2116.0
1651668596000.3281,-6580.0
1651668596000.33,-10190.0
1651668596000.332,-11130.0
1651668596000.334,-9267.0
1651668596000.336,-5578.0
1651668596000.338,-1766.0
1651668596000.3398,278.0
1651668596000.3418,-944.0
1651668596000.3438,-5069.0
1651668596000.3457,-9348.0
1651668596000.3477,-11233.0
1651668596000.3496,-10225.0
1651668596000.3516,-7018.0
1651668596000.3535,-3013.0
1651668596000.3555,-74.0
1651668596000.3574,-214.0
1651668596000.3594,-3634.0
1651668596000.3613,-8133.0
1651668596000.3633,-10897.0
1651668596000.3652,-10905.0
1651668596000.3672,-8323.0
1651668596000.3691,-4326.0
1651668596000.371,-800.0
1651668596000.373,253.0
1651668596000.375,-2061.0
1651668596000.377,-6554.0
1651668596000.379,-10203.0
1651668596000.3809,-11120.0
1651668596000.3828,-9332.0
1651668596000.3848,-5606.0
1651668596000.3867,-1724.0
1651668596000.3887,380.0
1651668596000.3906,-811.0
1651668596000.3926,-4902.0
1651668596000.3945,-9161.0
1651668596000.3965,-11075.0
1651668596000.3984,-10101.0
1651668596000.4004,-6903.0
1651668596000.4023,-2919.0
1651668596000.4043,13.0
1651668596000.4062,-78.0
1651668596000.4082,-3427.0
1651668596000.4102,-7921.0
1651668596000.412,-10719.0
1651668596000.414,-10728.0
1651668596000.416,-8154.0
1651668596000.418,-4173.0
1651668596000.42,-648.0
1651668596000.4219,427.0
1651668596000.4238,-1869.0
1651668596000.4258,-6356.0
1651668596000.4277,-10028.0
1651668596000.4297,-10981.0
1651668596000.4316,-9120.0
1651668596000.4336,-5446.0
1651668596000.4355,-1600.0
1651668596000.4375,513.0
1651668596000.4395,-663.0
1651668596000.4414,-4765.0
1651668596000.4434,-9047.0
1651668596000.4453,-10976.0
1651668596000.4473,-10010.0
1651668596000.4492,-6806.0
1651668596000.4512,-2825.0
1651668596000.4531,92.0
1651668596000.455,92.0
1651668596000.457,-3285.0
1651668596000.459,-7822.0
1651668596000.461,-10668.0
1651668596000.463,-10695.0
1651668596000.4648,-8096.0
1651668596000.4668,-4103.0
1651668596000.4688,-561.0
1651668596000.4707,498.0
1651668596000.4727,-1829.0
1651668596000.4746,-6329.0
1651668596000.4766,-9997.0
1651668596000.4785,-10976.0
1651668596000.4805,-9140.0
1651668596000.4824,-5445.0
1651668596000.4844,-1592.0
1651668596000.4863,538.0
1651668596000.4883,-619.0
1651668596000.4902,-4703.0
1651668596000.4922,-8968.0
1651668596000.4941,-10911.0
1651668596000.496,-9966.0
1651668596000.498,-6796.0
1651668596000.5,-2810.0
1651668596000.502,143.0
1651668596000.504,60.0
1651668596000.5059,-3287.0
1651668596000.5078,-7793.0
1651668596000.5098,-10586.0
1651668596000.5117,-10624.0
1651668596000.5137,-8100.0
1651668596000.5156,-4170.0
1651668596000.5176,-627.0
1651668596000.5195,588.0
1651668596000.5215,-1824.0
1651668596000.5234,-6310.0
1651668596000.5254,-9946.0
1651668596000.5273,-10926.0
1651668596000.5293,-9089.0
1651668596000.5312,-5398.0
1651668596000.5332,-1522.0
1651668596000.5352,650.0
1651668596000.537,-484.0
1651668596000.539,-4574.0
1651668596000.541,-8859.0
1651668596000.543,-10816.0
1651668596000.545,-9869.0
1651668596000.5469,-6683.0
1651668596000.5488,-2682.0
1651668596000.5508,299.0
1651668596000.5527,268.0
1651668596000.5547,-3037.0
1651668596000.5566,-7530.0
1651668596000.5586,-10397.0
1651668596000.5605,-10503.0
1651668596000.5625,-7906.0
1651668596000.5645,-3957.0
1651668596000.5664,-410.0
1651668596000.5684,695.0
1651668596000.5703,-1669.0
1651668596000.5723,-6107.0
1651668596000.5742,-9780.0
1651668596000.5762,-10805.0
1651668596000.5781,-9005.0
1651668596000.58,-5339.0
1651668596000.582,-1479.0
1651668596000.584,683.0
1651668596000.586,-446.0
1651668596000.588,-4521.0
1651668596000.5898,-8799.0
1651668596000.5918,-10761.0
1651668596000.5938,-9832.0
1651668596000.5957,-6641.0
1651668596000.5977,-2628.0
1651668596000.5996,355.0
1651668596000.6016,330.0
1651668596000.6035,-2992.0
1651668596000.6055,-7535.0
1651668596000.6074,-10390.0
1651668596000.6094,-10449.0
1651668596000.6113,-7937.0
1651668596000.6133,-3976.0
1651668596000.6152,-385.0
1651668596000.6172,767.0
1651668596000.6191,-1564.0
1651668596000.621,-6032.0
1651668596000.623,-9725.0
1651668596000.625,-10739.0
1651668596000.627,-8946.0
1651668596000.629,-5283.0
1651668596000.6309,-1439.0
1651668596000.6328,717.0
1651668596000.6348,-378.0
1651668596000.6367,-4455.0
1651668596000.6387,-8771.0
1651668596000.6406,-10736.0
1651668596000.6426,-9806.0
1651668596000.6445,-6659.0
1651668596000.6465,-2642.0
1651668596000.6484,340.0
1651668596000.6504,345.0
1651668596000.6523,-2926.0
1651668596000.6543,-7437.0
1651668596000.6562,-10272.0
1651668596000.6582,-10346.0
1651668596000.6602,-7863.0
1651668596000.662,-3922.0
1651668596000.664,-368.0
1651668596000.666,767.0
1651668596000.668,-1465.0
1651668596000.67,-5960.0
1651668596000.6719,-9656.0
1651668596000.6738,-10675.0
1651668596000.6758,-8993.0
1651668596000.6777,-5319.0
1651668596000.6797,-1447.0
1651668596000.6816,727.0
1651668596000.6836,-364.0
1651668596000.6855,-4406.0
1651668596000.6875,-8691.0
1651668596000.6895,-10664.0
1651668596000.6914,-9850.0
1651668596000.6934,-6667.0
1651668596000.6953,-2628.0
1651668596000.6973,381.0
1651668596000.6992,385.0
1651668596000.7012,-2901.0
1651668596000.7031,-7418.0
1651668596000.705,-10298.0
1651668596000.707,-10387.0
1651668596000.709,-7904.0
1651668596000.711,-3954.0
1651668596000.713,-382.0
1651668596000.7148,811.0
1651668596000.7168,-1389.0
1651668596000.7188,-5854.0
1651668596000.7207,-9583.0
1651668596000.7227,-10613.0
1651668596000.7246,-8837.0
1651668596000.7266,-5197.0
1651668596000.7285,-1293.0
1651668596000.7305,954.0
1651668596000.7324,-64.0
1651668596000.7344,-4082.0
1651668596000.7363,-8410.0
1651668596000.7383,-10423.0
1651668596000.7402,-9552.0
1651668596000.7422,-6427.0
1651668596000.7441,-2437.0
1651668596000.746,567.0
1651668596000.748,588.0
1651668596000.75,-2701.0
1651668596000.752,-7242.0
1651668596000.754,-10165.0
1651668596000.7559,-10323.0
1651668596000.7578,-7775.0
1651668596000.7598,-3849.0
1651668596000.7617,-288.0
1651668596000.7637,903.0
1651668596000.7656,-1311.0
1651668596000.7676,-5800.0
1651668596000.7695,-9550.0
1651668596000.7715,-10631.0
1651668596000.7734,-8876.0
1651668596000.7754,-5228.0
1651668596000.7773,-1341.0
1651668596000.7793,879.0
1651668596000.7812,-162.0
1651668596000.7832,-4183.0
1651668596000.7852,-8509.0
1651668596000.787,-10513.0
1651668596000.789,-9625.0
1651668596000.791,-6480.0
1651668596000.793,-2452.0
1651668596000.795,591.0
1651668596000.7969,649.0
1651668596000.7988,-2619.0
1651668596000.8008,-7166.0
1651668596000.8027,-10075.0
1651668596000.8047,-10225.0
1651668596000.8066,-7775.0
1651668596000.8086,-3812.0
1651668596000.8105,-200.0
1651668596000.8125,1025.0
1651668596000.8145,-1260.0
1651668596000.8164,-5733.0
1651668596000.8184,-9486.0
1651668596000.8203,-10566.0
1651668596000.8223,-8815.0
1651668596000.8242,-5182.0
1651668596000.8262,-1290.0
1651668596000.8281,956.0
1651668596000.83,-35.0
1651668596000.832,-4041.0
1651668596000.834,-8336.0
1651668596000.836,-10309.0
1651668596000.838,-9442.0
1651668596000.8398,-6327.0
1651668596000.8418,-2303.0
1651668596000.8438,766.0
1651668596000.8457,862.0
1651668596000.8477,-2386.0
1651668596000.8496,-6914.0
1651668596000.8516,-9871.0
1651668596000.8535,-10080.0
1651668596000.8555,-7524.0
1651668596000.8574,-3605.0
1651668596000.8594,-51.0
1651668596000.8613,1169.0
1651668596000.8633,-1006.0
1651668596000.8652,-5487.0
1651668596000.8672,-9237.0
1651668596000.8691,-10314.0
1651668596000.871,-8713.0
1651668596000.873,-5102.0
1651668596000.875,-1194.0
1651668596000.877,1069.0
1651668596000.879,59.0
1651668596000.8809,-3923.0
1651668596000.8828,-8241.0
1651668596000.8848,-10295.0
1651668596000.8867,-9559.0
1651668596000.8887,-6438.0
1651668596000.8906,-2405.0
1651668596000.8926,686.0
1651668596000.8945,785.0
1651668596000.8965,-2424.0
1651668596000.8984,-6920.0
1651668596000.9004,-9818.0
1651668596000.9023,-9967.0
1651668596000.9043,-7535.0
1651668596000.9062,-3593.0
1651668596000.9082,13.0
1651668596000.9102,1247.0
1651668596000.912,-880.0
1651668596000.914,-5321.0
1651668596000.916,-9113.0
1651668596000.918,-10259.0
1651668596000.92,-8596.0
1651668596000.9219,-5019.0
1651668596000.9238,-1128.0
1651668596000.9258,1134.0
1651668596000.9277,56.0
1651668596000.9297,-3900.0
1651668596000.9316,-8223.0
1651668596000.9336,-10313.0
1651668596000.9355,-9514.0
1651668596000.9375,-6456.0
1651668596000.9395,-2464.0
1651668596000.9414,625.0
1651668596000.9434,753.0
1651668596000.9453,-2442.0
1651668596000.9473,-6971.0
1651668596000.9492,-9937.0
1651668596000.9512,-10130.0
1651668596000.9531,-7702.0
1651668596000.955,-3768.0
1651668596000.957,-153.0
1651668596000.959,1140.0
1651668596000.961,-942.0
1651668596000.963,-5395.0
1651668596000.9648,-9204.0
1651668596000.9668,-10357.0
1651668596000.9688,-8669.0
1651668596000.9707,-5037.0
1651668596000.9727,-1128.0
1651668596000.9746,1185.0
1651668596000.9766,253.0
1651668596000.9785,-3721.0
1651668596000.9805,-8066.0
1651668596000.9824,-10177.0
1651668596000.9844,-9386.0
1651668596000.9863,-6302.0
1651668596000.9883,-2306.0
1651668596000.9902,810.0
1651668596000.9922,987.0
1651668596000.9941,-2180.0
1651668596000.996,-6686.0
1651668596000.998,-9675.0
1651668596001.0,-9897.0
1651668596001.002,-7487.0
1651668596001.004,-3545.0
1651668596001.0059,60.0
1651668596001.0078,1329.0
1651668596001.0098,-745.0
1651668596001.0117,-5153.0
1651668596001.0137,-8953.0
1651668596001.0156,-10126.0
1651668596001.0176,-8476.0
1651668596001.0195,-4892.0
1651668596001.0215,-955.0
1651668596001.0234,1299.0
1651668596001.0254,356.0
1651668596001.0273,-3591.0
1651668596001.0293,-7951.0
1651668596001.0312,-10046.0
1651668596001.0332,-9237.0
1651668596001.0352,-6186.0
1651668596001.037,-2194.0
1651668596001.039,910.0
1651668596001.041,1051.0
1651668596001.043,-2121.0
1651668596001.045,-6635.0
1651668596001.0469,-9645.0
1651668596001.0488,-9883.0
1651668596001.0508,-7408.0
1651668596001.0527,-3521.0
1651668596001.0547,41.0
1651668596001.0566,1324.0
1651668596001.0586,-736.0
1651668596001.0605,-5111.0
1651668596001.0625,-8885.0
1651668596001.0645,-10018.0
1651668596001.0664,-8337.0
1651668596001.0684,-4790.0
1651668596001.0703,-921.0
1651668596001.0723,1408.0
1651668596001.0742,496.0
1651668596001.0762,-3454.0
1651668596001.0781,-7820.0
1651668596001.08,-9916.0
1651668596001.082,-9113.0
1651668596001.084,-6036.0
1651668596001.086,-2010.0
1651668596001.088,1107.0
1651668596001.0898,1304.0
1651668596001.0918,-1852.0
1651668596001.0938,-6393.0
1651668596001.0957,-9381.0
1651668596001.0977,-9625.0
1651668596001.0996,-7288.0
1651668596001.1016,-3379.0
1651668596001.1035,206.0
1651668596001.1055,1489.0
1651668596001.1074,-583.0
1651668596001.1094,-5045.0
1651668596001.1113,-8896.0
1651668596001.1133,-10099.0
1651668596001.1152,-8489.0
1651668596001.1172,-4979.0
1651668596001.1191,-1041.0
1651668596001.121,1326.0
1651668596001.123,301.0
1651668596001.125,-3546.0
1651668596001.127,-7833.0
1651668596001.129,-9953.0
1651668596001.1309,-9183.0
1651668596001.1328,-6135.0
1651668596001.1348,-2139.0
1651668596001.1367,976.0
1651668596001.1387,1191.0
1651668596001.1406,-1932.0
1651668596001.1426,-6438.0
1651668596001.1445,-9421.0
1651668596001.1465,-9671.0
1651668596001.1484,-7332.0
1651668596001.1504,-3432.0
1651668596001.1523,188.0
1651668596001.1543,1521.0
1651668596001.1562,-508.0
1651668596001.1582,-4889.0
1651668596001.1602,-8661.0
1651668596001.162,-9862.0
1651668596001.164,-8371.0
1651668596001.166,-4800.0
1651668596001.168,-871.0
1651668596001.17,1486.0
1651668596001.1719,508.0
1651668596001.1738,-3386.0
1651668596001.1758,-7687.0
1651668596001.1777,-9807.0
1651668596001.1797,-9175.0
1651668596001.1816,-6136.0
1651668596001.1836,-2127.0
1651668596001.1855,990.0
1651668596001.1875,1230.0
1651668596001.1895,-1872.0
1651668596001.1914,-6373.0
1651668596001.1934,-9381.0
1651668596001.1953,-9660.0
1651668596001.1973,-7335.0
1651668596001.1992,-3434.0
1651668596001.2012,169.0
1651668596001.2031,1515.0
1651668596001.205,-484.0
1651668596001.207,-4863.0
1651668596001.209,-8686.0
1651668596001.211,-9905.0
1651668596001.213,-8322.0
1651668596001.2148,-4793.0
1651668596001.2168,-871.0
1651668596001.2188,1496.0
1651668596001.2207,538.0
1651668596001.2227,-3250.0
1651668596001.2246,-7597.0
1651668596001.2266,-9784.0
1651668596001.2285,-9062.0
1651668596001.2305,-6070.0
1651668596001.2324,-2080.0
1651668596001.2344,1052.0
1651668596001.2363,1289.0
1651668596001.2383,-1803.0
1651668596001.2402,-6339.0
1651668596001.2422,-9415.0
1651668596001.2441,-9707.0
1651668596001.246,-7372.0
1651668596001.248,-3462.0
1651668596001.25,177.0
1651668596001.252,1587.0
1651668596001.254,-360.0
1651668596001.2559,-4716.0
1651668596001.2578,-8556.0
1651668596001.2598,-9813.0
1651668596001.2617,-8250.0
1651668596001.2637,-4724.0
1651668596001.2656,-862.0
1651668596001.2676,1481.0
1651668596001.2695,657.0
1651668596001.2715,-3219.0
1651668596001.2734,-7568.0
1651668596001.2754,-9762.0
1651668596001.2773,-9089.0
1651668596001.2793,-6119.0
1651668596001.2812,-2142.0
1651668596001.2832,1016.0
1651668596001.2852,1296.0
1651668596001.287,-1759.0
1651668596001.289,-6260.0
1651668596001.291,-9346.0
1651668596001.293,-9691.0
1651668596001.295,-7304.0
1651668596001.2969,-3437.0
1651668596001.2988,180.0
1651668596001.3008,1588.0
1651668596001.3027,-352.0
1651668596001.3047,-4720.0
1651668596001.3066,-8552.0
1651668596001.3086,-9777.0
1651668596001.3105,-8210.0
1651668596001.3125,-4687.0
1651668596001.3145,-785.0
1651668596001.3164,1595.0
1651668596001.3184,796.0
1651668596001.3203,-3105.0
1651668596001.3223,-7412.0
1651668596001.3242,-9552.0
1651668596001.3262,-8898.0
1651668596001.3281,-5939.0
1651668596001.33,-1968.0
1651668596001.332,1180.0
1651668596001.334,1467.0
1651668596001.336,-1602.0
1651668596001.338,-6117.0
1651668596001.3398,-9179.0
1651668596001.3418,-9507.0
1651668596001.3438,-7239.0
1651668596001.3457,-3361.0
1651668596001.3477,286.0
1651668596001.3496,1690.0
1651668596001.3516,-385.0
1651668596001.3535,-4745.0
1651668596001.3555,-8603.0
1651668596001.3574,-9887.0
1651668596001.3594,-8337.0
1651668596001.3613,-4819.0
1651668596001.3633,-921.0
1651668596001.3652,1470.0
1651668596001.3672,673.0
1651668596001.3691,-3185.0
1651668596001.371,-7512.0
1651668596001.373,-9691.0
1651668596001.375,-9122.0
1651668596001.377,-6105.0
1651668596001.379,-2076.0
1651668596001.3809,1092.0
1651668596001.3828,1391.0
1651668596001.3848,-1637.0
1651668596001.3867,-6124.0
1651668596001.3887,-9189.0
1651668596001.3906,-9514.0
1651668596001.3926,-7244.0
1651668596001.3945,-3360.0
1651668596001.3965,278.0
1651668596001.3984,1701.0
1651668596001.4004,-229.0
1651668596001.4023,-4603.0
1651668596001.4043,-8480.0
1651668596001.4062,-9756.0
1651668596001.4082,-8243.0
1651668596001.4102,-4753.0
1651668596001.412,-852.0
1651668596001.414,1574.0
1651668596001.416,793.0
1651668596001.418,-3076.0
1651668596001.42,-7429.0
1651668596001.4219,-9652.0
1651668596001.4238,-9048.0
1651668596001.4258,-6068.0
1651668596001.4277,-2109.0
1651668596001.4297,1078.0
1651668596001.4316,1416.0
1651668596001.4336,-1596.0
1651668596001.4355,-6087.0
1651668596001.4375,-9208.0
1651668596001.4395,-9585.0
1651668596001.4414,-7228.0
1651668596001.4434,-3370.0
1651668596001.4453,263.0
1651668596001.4473,1716.0
1651668596001.4492,-169.0
1651668596001.4512,-4512.0
1651668596001.4531,-8402.0
1651668596001.455,-9718.0
1651668596001.457,-8191.0
1651668596001.459,-4666.0
1651668596001.461,-721.0
1651668596001.463,1734.0
1651668596001.4648,919.0
1651668596001.4668,-2873.0
1651668596001.4688,-7228.0
1651668596001.4707,-9453.0
1651668596001.4727,-8821.0
1651668596001.4746,-5893.0
1651668596001.4766,-1916.0
1651668596001.4785,1286.0
1651668596001.4805,1653.0
1651668596001.4824,-1347.0
1651668596001.4844,-5836.0
1651668596001.4863,-8927.0
1651668596001.4883,-9291.0
1651668596001.4902,-7053.0
1651668596001.4922,-3170.0
1651668596001.4941,500.0
1651668596001.496,1970.0
1651668596001.498,103.0
1651668596001.5,-4240.0
1651668596001.502,-8154.0
1651668596001.504,-9472.0
1651668596001.5059,-7987.0
1651668596001.5078,-4531.0
1651668596001.5098,-673.0
1651668596001.5117,1773.0
1651668596001.5137,1074.0
1651668596001.5156,-2738.0
1651668596001.5176,-7093.0
1651668596001.5195,-9330.0
1651668596001.5215,-8807.0
1651668596001.5234,-5829.0
1651668596001.5254,-1810.0
1651668596001.5273,1329.0
1651668596001.5293,1668.0
1651668596001.5312,-1187.0
1651668596001.5332,-5741.0
1651668596001.5352,-8880.0
1651668596001.537,-9271.0
1651668596001.539,-7061.0
1651668596001.541,-3196.0
1651668596001.543,493.0
1651668596001.545,2018.0
1651668596001.5469,73.0
1651668596001.5488,-4256.0
1651668596001.5508,-8151.0
1651668596001.5527,-9488.0
1651668596001.5547,-7988.0
1651668596001.5566,-4471.0
1651668596001.5586,-578.0
1651668596001.5605,1853.0
1651668596001.5625,1149.0
1651668596001.5645,-2643.0
1651668596001.5664,-6989.0
1651668596001.5684,-9240.0
1651668596001.5703,-8721.0
1651668596001.5723,-5775.0
1651668596001.5742,-1760.0
1651668596001.5762,1446.0
1651668596001.5781,1816.0
1651668596001.58,-1151.0
1651668596001.582,-5646.0
1651668596001.584,-8796.0
1651668596001.586,-9184.0
1651668596001.588,-6959.0
1651668596001.5898,-3109.0
1651668596001.5918,564.0
1651668596001.5938,2082.0
1651668596001.5957,254.0
1651668596001.5977,-4075.0
1651668596001.5996,-8005.0
1651668596001.6016,-9361.0
1651668596001.6035,-7881.0
1651668596001.6055,-4400.0
1651668596001.6074,-497.0
1651668596001.6094,1995.0
1651668596001.6113,1326.0
1651668596001.6133,-2466.0
1651668596001.6152,-6846.0
1651668596001.6172,-9127.0
1651668596001.6191,-8643.0
1651668596001.621,-5726.0
1651668596001.623,-1706.0
1651668596001.625,1529.0
1651668596001.627,1938.0
1651668596001.629,-1038.0
1651668596001.6309,-5472.0
1651668596001.6328,-8701.0
1651668596001.6348,-9202.0
1651668596001.6367,-6926.0
1651668596001.6387,-3080.0
1651668596001.6406,575.0
1651668596001.6426,2109.0
1651668596001.6445,274.0
1651668596001.6465,-4097.0
1651668596001.6484,-8045.0
1651668596001.6504,-9420.0
1651668596001.6523,-7980.0
1651668596001.6543,-4520.0
1651668596001.6562,-583.0
1651668596001.6582,1922.0
1651668596001.6602,1178.0
1651668596001.662,-2579.0
1651668596001.664,-6934.0
1651668596001.666,-9224.0
1651668596001.668,-8761.0
1651668596001.67,-5862.0
1651668596001.6719,-1881.0
1651668596001.6738,1337.0
1651668596001.6758,1889.0
1651668596001.6777,-1067.0
1651668596001.6797,-5595.0
1651668596001.6816,-8783.0
1651668596001.6836,-9233.0
1651668596001.6855,-6943.0
1651668596001.6875,-3102.0
1651668596001.6895,569.0
1651668596001.6914,2115.0
1651668596001.6934,316.0
1651668596001.6953,-4016.0
1651668596001.6973,-7959.0
1651668596001.6992,-9361.0
1651668596001.7012,-7919.0
1651668596001.7031,-4450.0
1651668596001.705,-492.0
1651668596001.707,2042.0
1651668596001.709,1321.0
1651668596001.711,-2452.0
1651668596001.713,-6867.0
1651668596001.7148,-9208.0
1651668596001.7168,-8666.0
1651668596001.7188,-5782.0
1651668596001.7207,-1763.0
1651668596001.7227,1477.0
1651668596001.7246,1927.0
1651668596001.7266,-984.0
1651668596001.7285,-5516.0
1651668596001.7305,-8730.0
1651668596001.7324,-9124.0
1651668596001.7344,-6883.0
1651668596001.7363,-3087.0
1651668596001.7383,588.0
1651668596001.7402,2283.0
1651668596001.7422,410.0
1651668596001.7441,-3890.0
1651668596001.746,-7813.0
1651668596001.748,-9211.0
1651668596001.75,-7797.0
1651668596001.752,-4346.0
1651668596001.754,-401.0
1651668596001.7559,2123.0
1651668596001.7578,1391.0
1651668596001.7598,-2343.0
1651668596001.7617,-6708.0
1651668596001.7637,-9049.0
1651668596001.7656,-8636.0
1651668596001.7676,-5755.0
1651668596001.7695,-1749.0
1651668596001.7715,1501.0
1651668596001.7734,1989.0
1651668596001.7754,-892.0
1651668596001.7773,-5395.0
1651668596001.7793,-8591.0
1651668596001.7812,-9080.0
1651668596001.7832,-6847.0
1651668596001.7852,-3028.0
1651668596001.787,649.0
1651668596001.789,2244.0
1651668596001.791,497.0
1651668596001.793,-3816.0
1651668596001.795,-7787.0
1651668596001.7969,-9212.0
1651668596001.7988,-7783.0
1651668596001.8008,-4359.0
1651668596001.8027,-430.0
1651668596001.8047,2206.0
1651668596001.8066,1492.0
1651668596001.8086,-2244.0
1651668596001.8105,-6608.0
1651668596001.8125,-8943.0
1651668596001.8145,-8520.0
1651668596001.8164,-5640.0
1651668596001.8184,-1636.0
1651668596001.8203,1632.0
1651668596001.8223,2138.0
1651668596001.8242,-762.0
1651668596001.8262,-5278.0
1651668596001.8281,-8497.0
1651668596001.83,-8975.0
1651668596001.832,-6871.0
1651668596001.834,-3020.0
1651668596001.836,763.0
1651668596001.838,2308.0
1651668596001.8398,520.0
1651668596001.8418,-3805.0
1651668596001.8438,-7764.0
1651668596001.8457,-9180.0
1651668596001.8477,-7830.0
1651668596001.8496,-4324.0
1651668596001.8516,-338.0
1651668596001.8535,2236.0
1651668596001.8555,1561.0
1651668596001.8574,-2173.0
1651668596001.8594,-6557.0
1651668596001.8613,-8903.0
1651668596001.8633,-8479.0
1651668596001.8652,-5585.0
1651668596001.8672,-1573.0
1651668596001.8691,1705.0
1651668596001.871,2210.0
1651668596001.873,-676.0
1651668596001.875,-5173.0
1651668596001.877,-8388.0
1651668596001.879,-8877.0
1651668596001.8809,-6773.0
1651668596001.8828,-2949.0
1651668596001.8848,759.0
1651668596001.8867,2375.0
1651668596001.8887,672.0
1651668596001.8906,-3629.0
1651668596001.8926,-7608.0
1651668596001.8945,-9030.0
1651668596001.8965,-7732.0
